time,caudal,level,noise
0,0.9248357076505617,8.7,0.0
1,0.8930867849414408,8.839244222152743,0.0
2,0.9323844269050346,8.68362639526204,1.0
3,0.9761514928204013,9.427632650637207,1.0
4,0.8882923312638332,9.341670849066412,1.0
5,0.888293152152541,8.040425887876847,1.0
6,0.9789606407753696,9.629015766037307,1.0
7,0.9383717364576455,7.651678211690025,1.0
8,0.8765262807032524,8.879238560081221,1.0
9,0.9271280021792982,9.01882324352189,1.0
10,0.8768291153593769,9.092662846819671,1.0
11,0.8767135123214872,8.972942707683444,0.0
12,0.9120981135783017,8.939323937973827,0.0
13,0.8043359877671101,9.089418836418298,0.0
14,0.8137541083743484,8.933991698163116,0.0
15,0.8718856235379514,8.718934804476813,1.0
16,0.8493584439832789,10.0,1.0
17,0.9157123666297637,8.3405959610954,1.0
18,0.8545987962239394,8.604543948331461,1.0
19,0.8293848149332355,8.732043723497524,0.0
20,0.9732824384460778,8.77537981728282,0.0
21,0.8887111849756733,8.811458521127372,0.0
22,0.9033764102343962,8.732134457531478,0.0
23,0.8287625906893272,8.716148365868015,0.0
24,0.8727808637737409,8.511514503437821,1.0
25,0.9055461294854933,8.951134390942078,1.0
26,0.8424503211288848,9.536211455619005,1.0
27,0.9187849009172836,9.118934798541849,1.0
28,0.8699680655040598,8.396988569994853,1.0
29,0.8854153125103362,8.92697520422313,1.0
30,0.8699146693885301,9.393617680278211,1.0
31,0.9926139092254469,9.490158291983303,1.0
32,0.8993251387631033,7.688110477371261,1.0
33,0.847114453552205,8.632752501468403,0.0
34,0.9411272456051595,8.715034319705511,0.0
35,0.8389578175014489,9.11043121099139,1.0
36,0.9104431797502378,8.46639795984516,1.0
37,0.8020164938060113,8.667246416945744,0.0
38,0.8335906975550785,7.523392661152129,1.0
39,0.9098430617934562,9.691360544496346,1.0
40,0.9369233289997706,8.865244313474804,1.0
41,0.9085684140594985,8.879174195652363,0.0
42,0.894217585880588,8.796872688823054,0.0
43,0.8849448152205356,8.883860715923626,0.0
44,0.8260739004816287,8.835845115836992,0.0
45,0.8640077895802646,8.787814141633538,0.0
46,0.8769680614520107,8.856314113200698,0.0
47,0.9528561113109458,8.895569189532996,0.0
48,0.9171809144784231,8.700534227375814,0.0
49,0.8118479922318633,8.839266216096426,0.0
50,0.9162041984697398,8.95104252813886,0.0
